decision,raw_name,receipt_price,rank,score,evidence,catalog_name,brand,pack_size,catalog_price,article_number,url
,JT Schoko Rosinen,1.69,1,7.0,search#1 name:rosinen+schoko brand:jeden+tag,"Schoko Rosinen, Vollmilchschokoladee",Jeden Tag,"0,2 kg (6,45 € / 1 kg)",1.29,4306188034971,https://produkte.globus.de/suesses-salziges/schokolade/sonstige-schokoladenartikel/4306188034971/schoko-rosinen-vollmilchschokoladee
,JT Schoko Rosinen,1.69,2,4.7,search#2 name:rosinen+schoko,"Jumbo-Rosinen, Schoko",Meienburg,"0,2 kg (19,95 € / 1 kg)",,4009790007202,https://produkte.globus.de/suesses-salziges/schokolade/sonstige-schokoladenartikel/4009790007202/jumbo-rosinen-schoko
,JT Schokoladeneis,1.89,1,4.6,search#4 brand:jeden+tag price:1.89,"Eis, Schokolade",Jeden Tag,"1 l (1,89 € / 1 l)",1.89,4306188053323,https://produkte.globus.de/tiefkuehlprodukte/eis/eis-grosspackungen/4306188053323/eis-schokolade
,JT Schokoladeneis,1.89,2,3.0,search#1,"Eis Cremissimo, Schokolade",Mövenpick,"0,83 l (4,84 € / 1 l)",,8711327619470,https://produkte.globus.de/tiefkuehlprodukte/eis/eis-grosspackungen/8711327619470/eis-cremissimo-schokolade
,JT Schokoladeneis,1.89,3,2.7,search#2,"Eis, Schokolade",Viennetta,"0,65 l (3,06 € / 1 l)",1.99,8711327589209,https://produkte.globus.de/tiefkuehlprodukte/eis/eis-grosspackungen/8711327589209/eis-schokolade
,Kleenex KosT? Box,1.79,1,6.53,search#2 name:box brand:kleenex price:1.79,"Kosmetiktücher Box Ultra Soft, verschiedene Designs",Kleenex,"48 Stk (0,04 € / 1 Stk)",1.79,5029053578309,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/hygieneartikel/kosmetik-taschentuecher/5029053578309/kosmetiktuecher-box-ultra-soft-verschiedene-designs
,Kleenex KosT? Box,1.79,2,6.33,search#1 name:box brand:kleenex,Taschentücher-Box Duo,Kleenex,"144 Stk (0,02 € / 1 Stk)",2.99,5029053579375,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/hygieneartikel/kosmetik-taschentuecher/5029053579375/taschentuecher-box-duo
,Kleenex KosT? Box,1.79,3,5.73,search#3 name:box brand:kleenex,Taschentücher-Box Trio,Kleenex,"144 Stk (0,03 € / 1 Stk)",3.99,5029053580296,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/hygieneartikel/kosmetik-taschentuecher/5029053580296/taschentuecher-box-trio
,Linsen Chips Paprika,2.98,1,7.0,search#1 name:chips+linsen+paprika,"Linsen Chips, Paprika",funny-frisch,"0,09 kg (22,11 € / 1 kg)",,4003586104120,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/chips/4003586104120/linsen-chips-paprika
,Linsen Chips Paprika,2.98,2,6.7,search#2 name:chips+linsen+paprika,Linsen Chips Paprika,funny-frisch,"0,09 kg (22,11 € / 1 kg)",1.99,4003586107961,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/chips/4003586107961/linsen-chips-paprika
,Linsen Chips Paprika,2.98,3,6.1,search#4 name:chips+linsen+paprika,"Häppy Chips Linsen, Paprika",Leicht & Cross,"0,09 kg (22,11 € / 1 kg)",1.99,4001518117675,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/chips/4001518117675/haeppy-chips-linsen-paprika
,MANN.KAK.HN-T?RTCHEN,2.99,1,3.0,search#1,Waffeltaler mit Kakao-Haselnuss-Creme-Füllung,Manner,"0,4 kg (9,98 € / 1 kg)",,9000331607955,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607955/waffeltaler-mit-kakao-haselnuss-creme-fuellung
,MANN.KAK.HN-T?RTCHEN,2.99,2,2.7,search#2,"Schoko-Waffeln Törtchen, Schoko Brownie",Manner,"0,4 kg (9,98 € / 1 kg)",,9000331627908,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331627908/schoko-waffeln-toertchen-schoko-brownie
,Manner Kokos Waffeln,2.99,1,7.67,search#1 name:kokos+waffeln brand:manner,Kokos Waffeln,Manner,"0,4 kg (9,48 € / 1 kg)",,9000331607900,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607900/kokos-waffeln
,Manner VK Schnitte,2.99,1,5.0,search#1 brand:manner,"Haselnuss-Schnitten, Waffeln",Manner,"0,4 kg (12,48 € / 1 kg)",,9000331607993,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607993/haselnuss-schnitten-waffeln
,Manner VK Schnitte,2.99,2,2.7,search#2,Minze geschnitten,Ostmann,"0,01 kg (149,17 € / 1 kg)",1.79,4002674043716,https://produkte.globus.de/essig-oel-gewuerze-sossen/sossen-gewuerze/gewuerzmischungen/4002674043716/minze-geschnitten
,Manner VK Schnitte,2.99,3,2.4,search#3,"Estragonblätter, geschnitten",Ostmann,"0,02 kg (139,50 € / 1 kg)",2.79,4002674072259,https://produkte.globus.de/essig-oel-gewuerze-sossen/sossen-gewuerze/gewuerzmischungen/4002674072259/estragonblaetter-geschnitten
